title,action,adventure,animation,comedy,drama,fantasy,filmnoir,horror,imax,musical,mystery,other,romance,scifi,thriller,war,western,average_rating
Batman Returns (1992),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665
Young Guns (1988),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5
Young Guns II (1990),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0
Grease (1978),0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4.333333333333333
Marked for Death (1990),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Under Siege (1992),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.75
Jaws (1975),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.78125
Jaws 2 (1978),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0
Mars Attacks! (1996),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.25
Jerry Maguire (1996),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.923076923076923
Raising Arizona (1987),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55
Tin Men (1987),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Sneakers (1992),1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3.9166666666666665
Ghosts of Mississippi (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Beavis and Butt-Head Do America (1996),0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
"Judgement in Stone, A (Cérémonie, La) (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Scream (1996),0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,3.5
"Last of the Mohicans, The (1992)",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3.6
Michael (1996),0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2.5
Hamlet (1996),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.6666666666666665
Mother (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
"Thieves (Voleurs, Les) (1996)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Evita (1996),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.0
"Portrait of a Lady, The (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Murder at 1600 (1997),0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3.0
Fierce Creatures (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Turbulence (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
Metro (1997),1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0
Dante's Peak (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.75
Benny & Joon (1993),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.7
Kolya (Kolja) (1996),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Waiting for Guffman (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.083333333333333
Fools Rush In (1997),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Touch (1997),0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3.0
Absolute Power (1997),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.1666666666666665
Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Donnie Brasco (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Private Parts (1997),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
"Saint, The (1997)",1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2.875
Smilla's Sense of Snow (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.0
Crash (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.0
Liar Liar (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5714285714285716
"Quiet Room, The (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Selena (1997),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0
"Devil's Own, The (1997)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.3333333333333335
Anaconda (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5
Grosse Pointe Blank (1997),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
"Chef in Love, A (Shekvarebuli kulinaris ataserti retsepti) (1997)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0
Romy and Michele's High School Reunion (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Volcano (1997),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.0
Austin Powers: International Man of Mystery (1997),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4583333333333335
Breakdown (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5
Broken English (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Warriors of Virtue (1997),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
"Fifth Element, The (1997)",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.8214285714285716
"Promise, The (La promesse) (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Shall We Dance? (Shall We Dansu?) (1996),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4.666666666666667
Twin Town (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Addicted to Love (1997),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0
Brassed Off (1996),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4.333333333333333
"Lost World: Jurassic Park, The (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.45
Ponette (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Rough Magic (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5
Con Air (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1153846153846154
Speed 2: Cruise Control (1997),1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.0
Batman & Robin (1997),1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2.3333333333333335
Hercules (1997),0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.5
My Best Friend's Wedding (1997),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Face/Off (1997),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.25
Men in Black (a.k.a. MIB) (1997),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.68
Contact (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.3333333333333335
G.I. Jane (1997),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Conan the Barbarian (1982),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
George of the Jungle (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Cop Land (1997),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0
Event Horizon (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3.3333333333333335
Spawn (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.375
Air Bud (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Picture Perfect (1997),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0
In the Company of Men (1997),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.75
Conspiracy Theory (1997),0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,3.5
Desperate Measures (1998),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0
Mimic (1997),0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4.333333333333333
Excess Baggage (1997),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Air Force One (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5625
"Hunt for Red October, The (1990)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
My Own Private Idaho (1991),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
In & Out (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"Edge, The (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665
"Peacemaker, The (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.8333333333333335
L.A. Confidential (1997),0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3.973684210526316
Seven Years in Tibet (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.5
Kiss the Girls (1997),0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3.25
"Game, The (1997)",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3.75
Fire Down Below (1997),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0
U Turn (1997),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2.5
"Smile Like Yours, A (1997)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
Ulee's Gold (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"Ice Storm, The (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5
Stag (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
Chasing Amy (1997),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.3333333333333335
"Full Monty, The (1997)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5714285714285716
"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0
I Know What You Did Last Summer (1997),0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2.0
"Devil's Advocate, The (1997)",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3.0
Playing God (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.0
"Fast, Cheap & Out of Control (1997)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Washington Square (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Gattaca (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4.2
Eve's Bayou (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Switchback (1997),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.5
Stripes (1981),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.3333333333333335
"Rainmaker, The (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Boogie Nights (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Witness (1985),0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3.7777777777777777
Starship Troopers (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.107142857142857
"Joy Luck Club, The (1993)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.25
Sliding Doors (1998),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.333333333333333
"Truman Show, The (1998)",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3.727272727272727
"Wings of the Dove, The (1997)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0
"Jackal, The (1997)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6666666666666665
Anastasia (1997),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2.75
"Man Who Knew Too Little, The (1997)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.0
Alien: Resurrection (1997),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.1
Amistad (1997),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.0
"Apostle, The (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Artemisia (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Deconstructing Harry (1997),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Flubber (1997),0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
Good Will Hunting (1997),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.035714285714286
Midnight in the Garden of Good and Evil (1997),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.25
Scream 2 (1997),0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,2.6666666666666665
"Sweet Hereafter, The (1997)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Titanic (1997),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Tomorrow Never Dies (1997),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0625
"Horse Whisperer, The (1998)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0
Jackie Brown (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.5
"Big Lebowski, The (1998)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.269230769230769
My Life in Pink (Ma vie en rose) (1997),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Great Expectations (1998),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Wag the Dog (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7142857142857144
Dark City (1998),0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,4.333333333333333
Star Kid (1997),0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3.5
Hard Rain (1998),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
Half Baked (1998),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Fallen (1998),0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,4.5
Spice World (1997),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25
Deep Rising (1998),1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.5
"Wedding Singer, The (1998)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Sphere (1998),0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.75
Palmetto (1998),0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,3.0
As Good as It Gets (1997),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.5384615384615383
Men with Guns (1997),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Love and Death on Long Island (1997),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
"Man in the Iron Mask, The (1998)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.25
"Newton Boys, The (1998)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Wild Things (1998),0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4.333333333333333
Primary Colors (1998),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665
"Player's Club, The (1998)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Lost in Space (1998),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.5
Mercury Rising (1998),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.0
"Spanish Prisoner, The (1997)",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4.0
City of Angels (1998),0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,5.0
He Got Game (1998),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
"Gingerbread Man, The (1998)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0
Zero Effect (1998),0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2.0
Nil By Mouth (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
"Borrowers, The (1997)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.25
Kurt & Courtney (1998),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Character (Karakter) (1997),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Species II (1998),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0
"Friend of the Deceased, A (Priyatel pokonika) (1997)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
"Misérables, Les (1998)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3.0
Deep Impact (1998),0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3.4375
Quest for Camelot (1998),0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3.0
Godzilla (1998),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.1
Bulworth (1998),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.375
Fear and Loathing in Las Vegas (1998),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3
Hope Floats (1998),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2.3333333333333335
"Perfect Murder, A (1998)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5
Six Days Seven Nights (1998),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Can't Hardly Wait (1998),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Henry Fool (1997),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Mulan (1998),0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,3.0
"X-Files: Fight the Future, The (1998)",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3.611111111111111
Dr. Dolittle (1998),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4
Out of Sight (1998),0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2.8333333333333335
Picnic at Hanging Rock (1975),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4.0
Smoke Signals (1998),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5
Buffalo '66 (a.k.a. Buffalo 66) (1998),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.6666666666666665
Armageddon (1998),1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3.0833333333333335
Lethal Weapon 4 (1998),1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1
Small Soldiers (1998),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3.1666666666666665
Pi (1998),0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4.142857142857143
There's Something About Mary (1998),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.75
All Quiet on the Western Front (1930),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0
Mutiny on the Bounty (1935),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
"Great Ziegfeld, The (1936)",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0
"Best Years of Our Lives, The (1946)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.0
From Here to Eternity (1953),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,5.0
On the Waterfront (1954),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.375
West Side Story (1961),0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3.6666666666666665
Tom Jones (1963),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
"Man for All Seasons, A (1966)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
In the Heat of the Night (1967),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.0
Midnight Cowboy (1969),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5
"French Connection, The (1971)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.125
Rocky (1976),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.3
Kramer vs. Kramer (1979),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.375
Ordinary People (1980),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Chariots of Fire (1981),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Terms of Endearment (1983),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333333335
Out of Africa (1985),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.6666666666666665
"Last Emperor, The (1987)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Rain Man (1988),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.071428571428571
Driving Miss Daisy (1989),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Take the Money and Run (1969),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Klute (1971),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.5
Repo Man (1984),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.6666666666666665
Labyrinth (1986),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4.0
"Breakfast Club, The (1985)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.590909090909091
"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
"Nightmare on Elm Street 3: Dream Warriors, A (1987)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0
"Nightmare on Elm Street 4: The Dream Master, A (1988)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0
"Nightmare on Elm Street 5: The Dream Child, A (1989)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
Friday the 13th (1980),0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4.0
Friday the 13th Part 2 (1981),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
Friday the 13th Part IV: The Final Chapter (1984),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5
Halloween (1978),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6666666666666665
Halloween II (1981),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
Halloween III: Season of the Witch (1982),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
Halloween 5: The Revenge of Michael Myers (1989),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.0
Child's Play (1988),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4.0
Poltergeist (1982),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.875
Poltergeist II: The Other Side (1986),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3.0
Poltergeist III (1988),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0
"Exorcist, The (1973)",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4.25
Lethal Weapon (1987),1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Lethal Weapon 2 (1989),1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4285714285714284
Lethal Weapon 3 (1992),1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857142857
Gremlins (1984),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2.75
Gremlins 2: The New Batch (1990),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4.5
"Goonies, The (1985)",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.2777777777777777
"Mask of Zorro, The (1998)",1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.875
Soylent Green (1973),0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3.5833333333333335
Metropolis (1927),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4.333333333333333
Back to the Future Part II (1989),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.7222222222222223
Back to the Future Part III (1990),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3.75
"Poseidon Adventure, The (1972)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3333333333333335
"Absent-Minded Professor, The (1961)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
Bambi (1942),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4285714285714284
Seven Samurai (Shichinin no samurai) (1954),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.416666666666667
Dangerous Liaisons (1988),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.3333333333333335
Dune (1984),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.25
"Godfather: Part III, The (1990)",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3.3181818181818183
Lolita (1997),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Disturbing Behavior (1998),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.75
Saving Private Ryan (1998),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.24
"Black Hole, The (1979)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
Blank Check (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Condorman (1981),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
D2: The Mighty Ducks (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Darby O'Gill and the Little People (1959),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0
Flight of the Navigator (1986),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.875
"Great Mouse Detective, The (1986)",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
